title,author,length
Dragon's Justice 7,Bruce Sentar,Length: 10 hrs and 3 mins
Beyond the Story,"BTS,Myeongseok Kang,Anton Hur - translator,Slin Jung - translator,Clare Richards - translator",Length: 11 hrs and 18 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Murder in Bermuda,"James Patterson,Aaron Tracy,Thaddeus McCants",Length: 4 hrs
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Wool,Hugh Howey,Length: 15 hrs
Everything,Dakota Krout,Length: 13 hrs and 42 mins
Something Unexpected,Vi Keeland,Length: 8 hrs and 39 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Fourth Wing,Rebecca Yarros,Length: 20 hrs and 47 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
Identity,Nora Roberts,Length: 15 hrs and 4 mins
The Five-Star Weekend,Elin Hilderbrand,Length: 12 hrs and 45 mins
Unbroken Bonds of Battle,Johnny Joey Jones,Length: 8 hrs and 30 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
Playground,Aron Beauregard,Length: 9 hrs and 56 mins
Killers of the Flower Moon,David Grann,Length: 9 hrs and 4 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,Length: 5 hrs and 17 mins
Boldly Go,"William Shatner,Joshua Brandon",Length: 6 hrs and 10 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
Start with Why,Simon Sinek,Length: 7 hrs and 18 mins
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
The Alchemist,Paulo Coelho,Length: 4 hrs
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Length: 5 hrs and 51 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
1984,George Orwell,Length: 11 hrs and 22 mins
A Game of Thrones,George R.R. Martin,Length: 33 hrs and 46 mins
Queen of Shadows,Sarah J. Maas,Length: 20 hrs and 43 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Man's Search for Meaning,Viktor E. Frankl,Length: 4 hrs and 44 mins
The Last Wish,Andrzej Sapkowski,Length: 10 hrs and 17 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
Hunter's Descent,Alice Winters,Length: 9 hrs and 19 mins
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
American Prometheus,"Kai Bird,Martin J. Sherwin",Length: 26 hrs and 30 mins
One True Loves,Taylor Jenkins Reid,Length: 8 hrs and 53 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
The Silmarillion,"J. R. R. Tolkien,Christopher Tolkien",Length: 19 hrs and 24 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
The 7 Habits of Highly Effective People,Stephen R. Covey,Length: 13 hrs and 4 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
The Name of the Wind,Patrick Rothfuss,Length: 27 hrs and 55 mins
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Length: 6 hrs and 50 mins
Good to Great,Jim Collins,Length: 10 hrs and 1 min
Traction,Gino Wickman,Length: 6 hrs and 56 mins
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins
Children of Time,Adrian Tchaikovsky,Length: 16 hrs and 31 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins
The Daily Stoic,"Ryan Holiday,Stephen Hanselman",Length: 10 hrs and 6 mins
Why We Sleep,Matthew Walker,Length: 13 hrs and 52 mins
Eragon,Christopher Paolini,Length: 16 hrs and 22 mins
The 5 Second Rule,Mel Robbins,Length: 7 hrs and 35 mins
"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs and 2 mins
Zero to One,"Peter Thiel,Blake Masters",Length: 4 hrs and 50 mins
Sherlock Holmes,"Arthur Conan Doyle,Stephen Fry - introductions",Length: 62 hrs and 52 mins
Reference Book,Todd Reeves,Length: 1 hr and 15 mins
The Art of Seduction,Robert Greene,Length: 5 hrs and 9 mins
Fingerprints of the Gods,Graham Hancock,Length: 18 hrs and 31 mins
November 9,Colleen Hoover,Length: 9 hrs and 46 mins
Magic Tree House Collection: Books 1-8,Mary Pope Osborne,Length: 6 hrs and 1 min
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
The Guilty One,Bill Schweigart,Length: 9 hrs and 7 mins
The Lightning Thief,Rick Riordan,Length: 10 hrs and 2 mins
All the Light We Cannot See,Anthony Doerr,Length: 16 hrs and 2 mins
Empire of the Summer Moon,S. C. Gwynne,Length: 15 hrs and 9 mins
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins
Empire of Storms,Sarah J. Maas,Length: 25 hrs and 18 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
Dark Matter,Blake Crouch,Length: 10 hrs and 8 mins
Blood Meridian,Cormac McCarthy,Length: 13 hrs and 6 mins
Icebreaker,Hannah Grace,Length: 13 hrs and 23 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
Learn Spanish with Paul Noble for Beginners – Complete Course,Paul Noble,Length: 13 hrs and 21 mins
Dragonfly in Amber,Diana Gabaldon,Length: 38 hrs and 54 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
Atomic Habits,James Clear,Length: 5 hrs and 35 mins
The Goal,"Eliyahu M. Goldratt,Jeff Cox",Length: 11 hrs and 45 mins
The Road,Cormac McCarthy,Length: 6 hrs and 39 mins
The Obesity Code,Dr. Jason Fung,Length: 10 hrs and 9 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Before We Were Yours,Lisa Wingate,Length: 14 hrs and 29 mins
A Feast for Crows,George R.R. Martin,Length: 33 hrs and 51 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
Fast Like a Girl,Dr. Mindy Pelz,Length: 8 hrs and 13 mins
Animal Farm,George Orwell,Length: 3 hrs and 11 mins
The Secret,Rhonda Byrne,Length: 4 hrs and 24 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,Length: 13 hrs and 1 min
We Are Legion (We Are Bob),Dennis E. Taylor,Length: 9 hrs and 56 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Brave New World,Aldous Huxley,Length: 8 hrs
Columbus Day,Craig Alanson,Length: 16 hrs and 23 mins
All My Knotted-Up Life,Beth Moore,Length: 8 hrs and 29 mins
To Kill a Mockingbird,Harper Lee,Length: 12 hrs and 17 mins
The New Jim Crow,Michelle Alexander,Length: 16 hrs and 57 mins
The Art of War,Sun Tzu,Length: 1 hr and 7 mins
The Gray Man,Mark Greaney,Length: 11 hrs and 11 mins
Tremendous,"Joey ""Coco"" Diaz",Length: 6 hrs and 45 mins
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Length: 3 hrs and 41 mins
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.",Length: 8 hrs and 16 mins
Blood of Elves,Andrzej Sapkowski,Length: 10 hrs and 55 mins
Sword of Destiny,"Andrzej Sapkowski,David French - Translator",Length: 12 hrs and 48 mins
True Conviction,James P. Sumner,Length: 9 hrs and 11 mins
The Eye of the World,Robert Jordan,Length: 29 hrs and 57 mins
Morning Star,Pierce Brown,Length: 21 hrs and 50 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
Maybe Someday,Colleen Hoover,Length: 10 hrs and 40 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Golden Son,Pierce Brown,Length: 19 hrs and 3 mins
The Compound Effect,Darren Hardy,Length: 4 hrs and 44 mins
No More Mr. Nice Guy,Dr Robert Glover,Length: 6 hrs and 49 mins
The Daddy Diaries,Andy Cohen,Length: 10 hrs and 32 mins
The Five Dysfunctions of a Team,Patrick Lencioni,Length: 3 hrs and 42 mins
Jane Eyre,Charlotte Brontë,Length: 19 hrs and 10 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
Ender's Game,Orson Scott Card,Length: 11 hrs and 57 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
Six of Crows,Leigh Bardugo,Length: 15 hrs and 4 mins
The 48 Laws of Power,Robert Greene,Length: 9 hrs and 52 mins
Dracula [Audible Edition],Bram Stoker,Length: 15 hrs and 27 mins
Shift,Hugh Howey,Length: 14 hrs and 35 mins
True Believer,Jack Carr,Length: 15 hrs and 44 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,Length: 9 hrs and 9 mins
Dust,Hugh Howey,Length: 10 hrs and 53 mins
The Hiding Place,"Corrie ten Boom,Elizabeth Sherrill,John Sherrill",Length: 8 hrs and 14 mins
Outliers,Malcolm Gladwell,Length: 7 hrs and 18 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
The Dark Tower I,Stephen King,Length: 7 hrs and 20 mins
Artemis,Andy Weir,Length: 8 hrs and 57 mins
It,Stephen King,Length: 44 hrs and 55 mins
The Book on Rental Property Investing,Brandon Turner,Length: 11 hrs and 38 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
The ONE Thing,"Gary Keller,Jay Papasan",Length: 5 hrs and 28 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
The Intelligent Investor Rev Ed.,Benjamin Graham,Length: 17 hrs and 48 mins
The Ritual,Shantel Tessier,Length: 16 hrs and 46 mins
The Shining,Stephen King,Length: 15 hrs and 50 mins
