title,author,length
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
Beyond the Story,"BTS,Myeongseok Kang,Anton Hur - translator,Slin Jung - translator,Clare Richards - translator",Length: 11 hrs and 18 mins
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
Everything,Dakota Krout,Length: 13 hrs and 42 mins
Wool,Hugh Howey,Length: 15 hrs
Identity,Nora Roberts,Length: 15 hrs and 4 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
True Conviction,James P. Sumner,Length: 9 hrs and 11 mins
Fourth Wing,Rebecca Yarros,Length: 20 hrs and 47 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
The Covenant of Water,Abraham Verghese,Length: 31 hrs and 16 mins
Something Unexpected,Vi Keeland,Length: 8 hrs and 39 mins
The Five-Star Weekend,Elin Hilderbrand,Length: 12 hrs and 45 mins
